Specification,On2[gf],On2[mm],Barcode
3-23, 9.1, 0.156,MB250319V2007UKLX5215050J
3-24, 10.3, 0.175,MB250319V2007UKLX5215050J
3-25, 9.3, 0.157,MB250319V2007UKLX5215050J
3-26, 9.5, 0.160,MB250319V2007UKLX5215050J
3-27, 11.8, 0.198,MB250319V2007UKLX5215050J
3-28, 8.6, 0.153,MB250319V2007UKLX5215050J
3-29, 9.6, 0.165,MB250319V2007UKLX5215050J
3-30, 10.2, 0.183,MB250319V2007UKLX5215050J
3-31, 9.5, 0.162,MB250319V2007UKLX5215050J
3-32, 10.9, 0.192,MB250319V2007UKLX5215050J
3-33, 10.1, 0.177,MB250319V2007UKLX5215050J
3-34, 10.0, 0.173,MB250319V2007UKLX5215050J
3-35, 9.8, 0.171,MB250319V2007UKLX5215050J
3-36, 9.7, 0.165,MB250319V2007UKLX5215050J
3-37, 10.9, 0.187,MB250319V2007UKLX5215050J
3-38, 9.6, 0.165,MB250319V2007UKLX5215050J
3-39, 9.6, 0.173,MB250319V2007UKLX5215050J
3-40, 10.7, 0.182,MB250319V2007UKLX5215050J
3-41, 10.2, 0.170,MB250319V2007UKLX5215050J
3-42, 9.4, 0.163,MB250319V2007UKLX5215050J
3-43, 8.8, 0.148,MB250319V2007UKLX5215050J
3-44, 9.2, 0.157,MB250319V2007UKLX5215050J
3-45, 10.5, 0.183,MB250319V2007UKLX5215050J
3-46, 10.9, 0.188,MB250319V2007UKLX5215050J
3-47, 9.9, 0.174,MB250319V2007UKLX5215050J
3-48, 8.6, 0.149,MB250319V2007UKLX5215050J
3-49, 8.6, 0.143,MB250319V2007UKLX5215050J
3-50, 9.4, 0.161,MB250319V2007UKLX5215050J
3-51, 10.9, 0.189,MB250319V2007UKLX5215050J
3-52, 10.9, 0.180,MB250319V2007UKLX5215050J
3-53, 9.6, 0.163,MB250319V2007UKLX5215050J
3-54, 8.5, 0.141,MB250319V2007UKLX5215050J
3-55, 10.7, 0.191,MB250319V2007UKLX5215050J
3-56, 11.1, 0.191,MB250319V2007UKLX5215050J
3-57, 10.1, 0.180,MB250319V2007UKLX5215050J
3-58, 10.8, 0.189,MB250319V2007UKLX5215050J
3-59, 11.5, 0.201,MB250319V2007UKLX5215050J
3-60, 10.1, 0.181,MB250319V2007UKLX5215050J
3-61, 9.5, 0.161,MB250319V2007UKLX5215050J
3-62, 10.2, 0.176,MB250319V2007UKLX5215050J
3-63, 9.0, 0.154,MB250319V2007UKLX5215050J
3-64, 10.1, 0.172,MB250319V2007UKLX5215050J
3-65, 10.7, 0.187,MB250319V2007UKLX5215050J
3-66, 8.7, 0.144,MB250319V2007UKLX5215050J
3-67, 9.1, 0.149,MB250319V2007UKLX5215050J
3-68, 11.1, 0.194,MB250319V2007UKLX5215050J
3-69, 9.9, 0.171,MB250319V2007UKLX5215050J
3-70, 9.6, 0.165,MB250319V2007UKLX5215050J
3-71, 10.4, 0.190,MB250319V2007UKLX5215050J
3-72, 9.4, 0.159,MB250319V2007UKLX5215050J
3-73, 7.4, 0.124,MB250319V2007UKLX5215050J
3-74, 10.1, 0.174,MB250319V2007UKLX5215050J
3-75, 11.9, 0.183,MB250319V2007UKLX5215050J
3-76, 12.0, 0.190,MB250319V2007UKLX5215050J
3-77, 10.4, 0.170,MB250319V2007UKLX5215050J
3-78, 11.7, 0.195,MB250319V2007UKLX5215050J
Maxi,14.1,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini,7.1,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rang,7.0,0.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avrg,10.27,0.1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDev,1.03,0.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cpk,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
